,species,sepal length,sepal width,petal length,petal width
sample 1,setosa,5.1,3.5,1.4,0.2
sample 2,setosa,4.9,3,1.4,0.2
sample 3,setosa,4.7,3.2,1.3,0.2
sample 4,setosa,4.6,3.1,1.5,0.2
sample 5,setosa,5,3.6,1.4,0.2
sample 6,setosa,5.4,3.9,1.7,0.4
sample 7,setosa,4.6,3.4,1.4,0.3
sample 8,setosa,5,3.4,1.5,0.2
sample 9,setosa,4.4,2.9,1.4,0.2
sample 10,setosa,4.9,3.1,1.5,0.1
sample 11,setosa,5.4,3.7,1.5,0.2
sample 12,setosa,4.8,3.4,1.6,0.2
sample 13,setosa,4.8,3,1.4,0.1
sample 14,setosa,4.3,3,1.1,0.1
sample 15,setosa,5.8,4,1.2,0.2
sample 16,setosa,5.7,4.4,1.5,0.4
sample 17,setosa,5.4,3.9,1.3,0.4
sample 18,setosa,5.1,3.5,1.4,0.3
sample 19,setosa,5.7,3.8,1.7,0.3
sample 20,setosa,5.1,3.8,1.5,0.3
sample 21,setosa,5.4,3.4,1.7,0.2
sample 22,setosa,5.1,3.7,1.5,0.4
sample 23,setosa,4.6,3.6,1,0.2
sample 24,setosa,5.1,3.3,1.7,0.5
sample 25,setosa,4.8,3.4,1.9,0.2
sample 26,setosa,5,3,1.6,0.2
sample 27,setosa,5,3.4,1.6,0.4
sample 28,setosa,5.2,3.5,1.5,0.2
sample 29,setosa,5.2,3.4,1.4,0.2
sample 30,setosa,4.7,3.2,1.6,0.2
sample 31,setosa,4.8,3.1,1.6,0.2
sample 32,setosa,5.4,3.4,1.5,0.4
sample 33,setosa,5.2,4.1,1.5,0.1
sample 34,setosa,5.5,4.2,1.4,0.2
sample 35,setosa,4.9,3.1,1.5,0.2
sample 36,setosa,5,3.2,1.2,0.2
sample 37,setosa,5.5,3.5,1.3,0.2
sample 38,setosa,4.9,3.6,1.4,0.1
sample 39,setosa,4.4,3,1.3,0.2
sample 40,setosa,5.1,3.4,1.5,0.2
sample 41,setosa,5,3.5,1.3,0.3
sample 42,setosa,4.5,2.3,1.3,0.3
sample 43,setosa,4.4,3.2,1.3,0.2
sample 44,setosa,5,3.5,1.6,0.6
sample 45,setosa,5.1,3.8,1.9,0.4
sample 46,setosa,4.8,3,1.4,0.3
sample 47,setosa,5.1,3.8,1.6,0.2
sample 48,setosa,4.6,3.2,1.4,0.2
sample 49,setosa,5.3,3.7,1.5,0.2
sample 50,setosa,5,3.3,1.4,0.2
sample 51,versicolor,7,3.2,4.7,1.4
sample 52,versicolor,6.4,3.2,4.5,1.5
sample 53,versicolor,6.9,3.1,4.9,1.5
sample 54,versicolor,5.5,2.3,4,1.3
sample 55,versicolor,6.5,2.8,4.6,1.5
sample 56,versicolor,5.7,2.8,4.5,1.3
sample 57,versicolor,6.3,3.3,4.7,1.6
sample 58,versicolor,4.9,2.4,3.3,1
sample 59,versicolor,6.6,2.9,4.6,1.3
sample 60,versicolor,5.2,2.7,3.9,1.4
sample 61,versicolor,5,2,3.5,1
sample 62,versicolor,5.9,3,4.2,1.5
sample 63,versicolor,6,2.2,4,1
sample 64,versicolor,6.1,2.9,4.7,1.4
sample 65,versicolor,5.6,2.9,3.6,1.3
sample 66,versicolor,6.7,3.1,4.4,1.4
sample 67,versicolor,5.6,3,4.5,1.5
sample 68,versicolor,5.8,2.7,4.1,1
sample 69,versicolor,6.2,2.2,4.5,1.5
sample 70,versicolor,5.6,2.5,3.9,1.1
sample 71,versicolor,5.9,3.2,4.8,1.8
sample 72,versicolor,6.1,2.8,4,1.3
sample 73,versicolor,6.3,2.5,4.9,1.5
sample 74,versicolor,6.1,2.8,4.7,1.2
sample 75,versicolor,6.4,2.9,4.3,1.3
sample 76,versicolor,6.6,3,4.4,1.4
sample 77,versicolor,6.8,2.8,4.8,1.4
sample 78,versicolor,6.7,3,5,1.7
sample 79,versicolor,6,2.9,4.5,1.5
sample 80,versicolor,5.7,2.6,3.5,1
sample 81,versicolor,5.5,2.4,3.8,1.1
sample 82,versicolor,5.5,2.4,3.7,1
sample 83,versicolor,5.8,2.7,3.9,1.2
sample 84,versicolor,6,2.7,5.1,1.6
sample 85,versicolor,5.4,3,4.5,1.5
sample 86,versicolor,6,3.4,4.5,1.6
sample 87,versicolor,6.7,3.1,4.7,1.5
sample 88,versicolor,6.3,2.3,4.4,1.3
sample 89,versicolor,5.6,3,4.1,1.3
sample 90,versicolor,5.5,2.5,4,1.3
sample 91,versicolor,5.5,2.6,4.4,1.2
sample 92,versicolor,6.1,3,4.6,1.4
sample 93,versicolor,5.8,2.6,4,1.2
sample 94,versicolor,5,2.3,3.3,1
sample 95,versicolor,5.6,2.7,4.2,1.3
sample 96,versicolor,5.7,3,4.2,1.2
sample 97,versicolor,5.7,2.9,4.2,1.3
sample 98,versicolor,6.2,2.9,4.3,1.3
sample 99,versicolor,5.1,2.5,3,1.1
sample 100,versicolor,5.7,2.8,4.1,1.3
sample 101,virginica,6.3,3.3,6,2.5
sample 102,virginica,5.8,2.7,5.1,1.9
sample 103,virginica,7.1,3,5.9,2.1
sample 104,virginica,6.3,2.9,5.6,1.8
sample 105,virginica,6.5,3,5.8,2.2
sample 106,virginica,7.6,3,6.6,2.1
sample 107,virginica,4.9,2.5,4.5,1.7
sample 108,virginica,7.3,2.9,6.3,1.8
sample 109,virginica,6.7,2.5,5.8,1.8
sample 110,virginica,7.2,3.6,6.1,2.5
sample 111,virginica,6.5,3.2,5.1,2
sample 112,virginica,6.4,2.7,5.3,1.9
sample 113,virginica,6.8,3,5.5,2.1
sample 114,virginica,5.7,2.5,5,2
sample 115,virginica,5.8,2.8,5.1,2.4
sample 116,virginica,6.4,3.2,5.3,2.3
sample 117,virginica,6.5,3,5.5,1.8
sample 118,virginica,7.7,3.8,6.7,2.2
sample 119,virginica,7.7,2.6,6.9,2.3
sample 120,virginica,6,2.2,5,1.5
sample 121,virginica,6.9,3.2,5.7,2.3
sample 122,virginica,5.6,2.8,4.9,2
sample 123,virginica,7.7,2.8,6.7,2
sample 124,virginica,6.3,2.7,4.9,1.8
sample 125,virginica,6.7,3.3,5.7,2.1
sample 126,virginica,7.2,3.2,6,1.8
sample 127,virginica,6.2,2.8,4.8,1.8
sample 128,virginica,6.1,3,4.9,1.8
sample 129,virginica,6.4,2.8,5.6,2.1
sample 130,virginica,7.2,3,5.8,1.6
sample 131,virginica,7.4,2.8,6.1,1.9
sample 132,virginica,7.9,3.8,6.4,2
sample 133,virginica,6.4,2.8,5.6,2.2
sample 134,virginica,6.3,2.8,5.1,1.5
sample 135,virginica,6.1,2.6,5.6,1.4
sample 136,virginica,7.7,3,6.1,2.3
sample 137,virginica,6.3,3.4,5.6,2.4
sample 138,virginica,6.4,3.1,5.5,1.8
sample 139,virginica,6,3,4.8,1.8
sample 140,virginica,6.9,3.1,5.4,2.1
sample 141,virginica,6.7,3.1,5.6,2.4
sample 142,virginica,6.9,3.1,5.1,2.3
sample 143,virginica,5.8,2.7,5.1,1.9
sample 144,virginica,6.8,3.2,5.9,2.3
sample 145,virginica,6.7,3.3,5.7,2.5
sample 146,virginica,6.7,3,5.2,2.3
sample 147,virginica,6.3,2.5,5,1.9
sample 148,virginica,6.5,3,5.2,2
sample 149,virginica,6.2,3.4,5.4,2.3
sample 150,virginica,5.9,3,5.1,1.8
